Year,Host Country Id,Teams,Champion Country ID,Runner-Up Country Id,Top Scorer,Goals,Attendance,AttendanceAvg,Matches,Host Continent Id,Champion Continent Id,Runner-Up Continent Id
2026,1,48,12,13,Kylian Mbappé,18,6810966,65490,104,1,3,4
2022,2,32,13,8,Harry Kane,8,3404252,53191,64,2,4,3
2018,3,32,8,20,James Rodríguez,6,3031768,47371,64,3,3,3
2014,4,32,6,13,Wesley Sneijder,6,3429873,53592,64,4,3,4
2010,5,32,12,21,Thomas Müller,5,3178856,49670,64,5,3,3
2006,6,32,10,8,Miroslav Klose,5,3352605,52384,64,3,3,3
2002,7,32,4,6,Ronaldo,8,2705337,42271,64,2,4,3
1998,8,32,8,4,Davor Šuker,6,2903477,45367,64,3,3,4
1994,9,24,4,10,Hristo Stoichkov,6,3587538,68991,52,1,4,3
1990,10,24,19,13,Oleg Salenko,6,2516215,48389,52,3,3,4
1986,11,24,13,19,Salvatore Schillaci,6,2394031,46039,52,1,4,3
1982,12,24,10,19,Gary Lineker,6,2109723,40572,52,3,3,3
1978,13,16,13,21,Paolo Rossi,6,1545791,40679,38,4,4,3
1974,6,16,19,21,Mario Kempes,7,1865753,49099,38,3,3,3
1970,11,16,4,10,Grzegorz Lato,10,1603975,50124,32,1,4,3
1966,14,16,14,19,Gerd Müller,9,1563135,48848,32,3,3,3
1962,15,16,4,22,Eusébio,4,893172,27912,32,4,4,3
1958,16,16,4,16,Leonel Sánchez,13,819810,23423,35,3,4,3
1954,17,16,6,23,Flórián Albert,11,768607,29562,26,3,3,3
1950,4,15,18,4,Just Fontaine,8,1045246,47511,22,4,4,4
1938,8,16,10,23,Sándor Kocsis,7,375700,20872,18,3,3,3
1934,10,16,10,22,Ademir,5,363000,21353,17,3,3,3
1930,18,13,18,13,Leônidas,8,590549,32808,18,4,4,4
,,,,,Oldřich Nejedlý,,,,,,,
,,,,,Guillermo Stábile,,,,,,,
